step:27632000 loss:0.0010293847881257534  Testing Accuracy: 0.8913
step:27633000 loss:0.0  Testing Accuracy: 0.897
step:27634000 loss:0.1467609405517578  Testing Accuracy: 0.9029
step:27635000 loss:2.9802313861182483e-07  Testing Accuracy: 0.8923
step:27636000 loss:0.0  Testing Accuracy: 0.8952
step:27637000 loss:5.9604641222676946e-08  Testing Accuracy: 0.893
step:27638000 loss:0.023703450337052345  Testing Accuracy: 0.8942
step:27639000 loss:1.1920927533992653e-07  Testing Accuracy: 0.897
step:27640000 loss:6.281935202423483e-05  Testing Accuracy: 0.8898
step:27641000 loss:-0.0  Testing Accuracy: 0.8963
step:27642000 loss:0.11615967005491257  Testing Accuracy: 0.9025
step:27643000 loss:0.0005496697849594057  Testing Accuracy: 0.8977
step:27644000 loss:0.0013790171360597014  Testing Accuracy: 0.8902
step:27645000 loss:0.0  Testing Accuracy: 0.8827
step:27646000 loss:0.0  Testing Accuracy: 0.8835
step:27647000 loss:0.009239140897989273  Testing Accuracy: 0.8749
step:27648000 loss:3.0218641768442467e-05  Testing Accuracy: 0.8706
step:27649000 loss:0.00028155266772955656  Testing Accuracy: 0.8794
step:27650000 loss:0.0033355902414768934  Testing Accuracy: 0.8898
step:27651000 loss:1.7702266632113606e-05  Testing Accuracy: 0.8791
step:27652000 loss:1.7881390590446244e-07  Testing Accuracy: 0.8971
step:27653000 loss:0.18638122081756592  Testing Accuracy: 0.8876
step:27654000 loss:1.317245278187329e-05  Testing Accuracy: 0.8842
step:27655000 loss:0.0013893591240048409  Testing Accuracy: 0.8827
step:27656000 loss:7.29507373762317e-05  Testing Accuracy: 0.8922
step:27657000 loss:0.18834052979946136  Testing Accuracy: 0.8801
step:27658000 loss:0.2249644696712494  Testing Accuracy: 0.8942
step:27659000 loss:0.0  Testing Accuracy: 0.87
step:27660000 loss:-1.1754943508222875e-38  Testing Accuracy: 0.8862
step:27661000 loss:0.0034778567496687174  Testing Accuracy: 0.8844
step:27662000 loss:0.021169638261198997  Testing Accuracy: 0.8859
step:27663000 loss:0.000729743333067745  Testing Accuracy: 0.8768
step:27664000 loss:1.1205547707504593e-05  Testing Accuracy: 0.8935
step:27665000 loss:0.00603859219700098  Testing Accuracy: 0.8876
step:27666000 loss:0.009523938409984112  Testing Accuracy: 0.8889
step:27667000 loss:0.0  Testing Accuracy: 0.8846
step:27668000 loss:2.256949153578792e-36  Testing Accuracy: 0.8812
step:27669000 loss:0.00175828009378165  Testing Accuracy: 0.8801
step:27670000 loss:0.040298257023096085  Testing Accuracy: 0.8598
step:27671000 loss:0.0  Testing Accuracy: 0.8691
step:27672000 loss:0.0010059482883661985  Testing Accuracy: 0.8526
step:27673000 loss:0.0  Testing Accuracy: 0.8513
step:27674000 loss:-4.733165431326071e-30  Testing Accuracy: 0.8564
step:27675000 loss:0.000605871609877795  Testing Accuracy: 0.851
step:27676000 loss:0.0002472385240253061  Testing Accuracy: 0.8749
step:27677000 loss:0.010694790631532669  Testing Accuracy: 0.857
step:27678000 loss:1.132487000177207e-06  Testing Accuracy: 0.8775



